Ticker,rank,score,name,sector,index,price,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,new_52w_high,pct_vs_50dma,pct_vs_200dma,above_50dma,above_200dma,vol_ratio_20_60,volume_x
MRK,57,0.7392523793142989,Merck & Co.,Health Care,SP500,148.35000610351562,0.14300033729461492,0.25856482227627264,0.21566398076297522,0.8947368421052632,0.9161793372319688,0.8031189083820662,0.11306042884990253,-0.051773672117144565,False,0.12855745513258898,0.2795994736322973,True,True,1.7208755785145116,1.0239560298114616
INCY,58,0.7352769177846578,Incyte,Health Care,SP500,124.37000274658203,0.011220464320530033,0.2856109726374132,0.22810315857848118,0.5126705653021443,0.935672514619883,0.8245614035087719,0.04678362573099415,-0.042792197665039944,False,0.04850773164018651,0.1934332166771493,True,True,0.6172725198367751,0.5330944369979301
BAC,59,0.7332484806788212,Bank of America,Financials,SP500,62.31999969482422,0.009557754041196853,0.21402717097608992,0.2642571242090854,0.5029239766081871,0.8693957115009746,0.8557504873294347,0.07212475633528259,-0.03841996539991166,False,0.01958679806283814,0.14759240231554527,True,True,0.8297724577602816,0.9643658944911836
V,60,0.7321465428276575,Visa Inc.,Financials,SP500,381.6000061035156,0.04378990089885537,0.171433177938783,0.19666848306775409,0.6686159844054581,0.7914230019493177,0.7855750487329435,0.16764132553606237,-0.006612194637537261,False,0.06610988667042128,0.15009458620854432,True,True,0.9081494458818082,0.8055156409533204
HUM,61,0.7314321752092651,Humana,Health Care,SP500,385.5400085449219,0.051491858108993815,0.26530542953455516,1.0384816739353897,0.695906432748538,0.9278752436647173,0.9766081871345029,-0.04873294346978563,-0.05832642298769186,False,0.0017096065966644147,0.4037496020119107,True,True,0.739206258379479,0.7141028001887509
ZBRA,62,0.7308095401903452,Zebra Technologies,Information Technology,SP500,356.45001220703125,0.2352288982220765,0.4630792803147783,0.5915788601597702,0.9668615984405458,0.9902534113060428,0.9551656920077972,0.03703703703703698,-0.06946688644379306,False,0.17376384622741492,0.40042381121656834,True,True,1.980407794820544,0.6999504428377193
MCO,63,0.7287616099071207,Moody's Corporation,Financials,SP500,514.9500122070312,0.07004153811841962,0.1385289137356911,0.0854239232733589,0.7524366471734892,0.7251461988304093,0.5964912280701754,0.2553606237816764,-0.03932924968550533,False,0.06546058967896173,0.09406045135713414,True,True,0.6526421787123315,0.7091898974382145
MRSH,64,0.7287111569774108,Marsh McLennan,Financials,SP500,192.63999938964844,0.005900500836639955,0.2110382923674743,0.0427686242060723,0.4775828460038986,0.8674463937621832,0.5107212475633528,0.18518518518518523,-0.05460733141901286,False,0.05851061109336886,0.09305410587499607,True,True,0.571535848018323,0.869654338308612
PANW,65,0.7284004127966974,Palo Alto Networks,Information Technology,SP500,371.5899963378906,0.1409666073893996,0.3191451351390586,1.4952323456003054,0.8888888888888888,0.9590643274853801,0.9941520467836257,-0.03703703703703709,-0.06164142338916512,False,0.08204295205040646,0.6185385865782094,True,True,1.1754199016769442,0.864149592532007
FCX,66,0.7283545464969613,Freeport-McMoRan,Materials,SP500,76.44999694824219,0.20507564002461764,0.16626929567393045,0.12814784867336604,0.9590643274853801,0.7777777777777778,0.6861598440545809,0.115009746588694,-0.04329879308349738,False,0.16585473469417122,0.27626249833001637,True,True,0.8995815251263829,1.178787803501177
MSI,67,0.7252321981424147,Motorola Solutions,Information Technology,SP500,486.0,0.12808131409332368,0.20872995313692222,0.013446136669849507,0.8654970760233918,0.8635477582846004,0.4346978557504873,0.5009746588693957,-0.0026268239667202042,False,0.11417292022423364,0.1605419628493523,True,True,1.0573503954926564,0.7666585481739381
NTRS,68,0.7212865497076023,Northern Trust,Financials,SP500,186.7899932861328,0.02345076383823219,0.13422476655053694,0.31881713282622415,0.5886939571150097,0.7134502923976608,0.8947368421052632,0.05847953216374269,-0.024442512689890172,False,0.021967981831937156,0.19580441694907114,True,True,0.7489876779506917,0.8275968307408487
JNJ,69,0.7205228758169935,Johnson & Johnson,Health Care,SP500,268.0400085449219,0.052935478572978534,0.1954110422951647,0.09049261001787623,0.7017543859649122,0.834307992202729,0.6042884990253411,0.13255360623781676,-0.01867176477265664,False,0.04303105557342124,0.15804516190883988,True,True,0.7504120163745749,0.7666746504973087
SLB,70,0.7204380231624813,Schlumberger,Energy,SP500,57.33000183105469,0.17215297505440685,0.056472692346652975,0.12252793077645974,0.935672514619883,0.5029239766081871,0.682261208576998,0.39766081871345027,-0.011722056717007434,False,0.15259815488655915,0.18816894087413916,True,True,0.8786112892269874,0.9941093079582288
FOXA,71,0.7186469441577801,Fox Corporation (Class A),Communication Services,SP500,68.41999816894531,0.16320976749283855,0.07040050264247766,0.2203696267113413,0.9220272904483431,0.5477582846003899,0.8109161793372319,0.36647173489278756,-0.0966282210892847,False,0.15940159593004366,0.08120812973172797,True,True,0.7316704158949611,0.7285458215154307
GPN,72,0.7181527347781219,Global Payments,Financials,SP500,91.81999969482422,0.057346885846892626,0.22066107831512083,0.2094522747944867,0.7134502923976608,0.8791423001949318,0.797270955165692,0.01754385964912286,-0.03174103214289681,False,0.11831592147340575,0.22534686411919314,True,True,0.8042745951777044,0.8119976394679984
BLK,73,0.7172113289760349,BlackRock,Financials,SP500,1164.47998046875,0.06018917636630183,0.11860200488181039,0.10753198889660709,0.723196881091618,0.6686159844054581,0.631578947368421,0.16374269005847952,-0.016046127756540574,False,0.0775016762862224,0.10815621251712693,True,True,0.6660892271091546,0.8349446989777095
JKHY,74,0.7158743263387225,Jack Henry & Associates,Financials,SP500,169.72999572753906,0.10042783767316132,0.2506815071153896,0.05325998638948071,0.8050682261208577,0.9122807017543859,0.5380116959064327,0.5458089668615984,-0.11156476755283429,False,0.12371376071044149,0.06686283558091155,True,True,0.9363506318997366,0.7644424642187202
IVZ,75,0.7120502235982111,Invesco,Financials,SP500,32.86000061035156,0.12439779685149643,0.1623255248801132,0.2695454696519817,0.8557504873294347,0.7621832358674464,0.8615984405458089,-0.0019493177387913674,-0.013509478966887034,False,0.10465479291503099,0.23269998425726834,True,True,0.719242286701112,0.5957675082395398
EG,76,0.7109792454993693,Everest Group,Financials,SP500,377.6099853515625,0.005994245758222272,0.17232794118162587,0.13935163849101473,0.48148148148148145,0.7953216374269005,0.7095516569200779,0.1656920077972709,-0.05289698071169713,False,0.021704660819606092,0.11332048035441833,True,True,0.625666847950674,0.6579594513361385
BX,77,0.7078500171998625,Blackstone Inc.,Financials,SP500,142.38999938964844,0.12315527248338065,0.22973836762817057,0.2805445058422442,0.8518518518518519,0.8927875243664717,0.8713450292397661,0.32748538011695905,-0.2147230812484795,False,0.09598933882826244,0.10800487395780967,True,True,1.05806053363822,0.5564960926969292
