Ticker,rank,score,name,sector,index,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,pct_from_52w_low,new_52w_high,pct_vs_50dma,pct_vs_200dma,dist_to_50dma,above_50dma,above_200dma,vol_ratio_20_60,volume_x,gap_pct,gap_up,rvol
ALLE,139,0.636140350877193,Allegion,Industrials,SP500,157.47999572753906,-0.014024577235438374,-0.02975788247000044,0.0026741256556344073,0.21572353722162085,-0.015031056185154101,0.4600389863547758,0.8732943469785575,0.36257309941520466,0.13255360623781676,-0.11705099773338468,0.2584892252791422,False,0.04635784812676258,0.04559025154019669,-0.0443040095792796,True,True,0.6673391075864137,0.8561860551051987,0.0018156353864040575,False,0.9255266724159172
NOW,140,0.6358915262011237,ServiceNow,Information Technology,SP500,144.7100067138672,0.04536599270646824,0.12632325284899815,0.3147088863003953,0.1635442913733003,0.3397833890545421,0.98635477582846,0.7699805068226121,0.9044834307992202,-0.1150097465886939,-0.247203818705928,0.7434940567935806,False,0.2911682579393642,0.21328245910811705,-0.2255076022423702,True,True,0.7734225102590259,0.8264787562863811,0.00036121544754341706,False,1.305896526581802
CTAS,141,0.6349501203990369,Cintas,Industrials,SP500,204.17999267578125,0.00014694479644261627,0.0019137317949702304,-0.010056612835497858,0.19531935667282885,0.020568733261772554,0.39571150097465885,0.8323586744639376,0.44639376218323584,0.007797270955165692,-0.05458647935037397,0.25507191568436105,False,0.053386832155583264,0.10032580671361635,-0.05068112731800134,True,True,0.4544711318962532,0.7639142696610826,0.006612814812035461,False,0.6041209680319322
SW,142,0.6347735351450522,Smurfit Westrock,Materials,SP500,48.290000915527344,-0.0069915719745030636,-0.02227168430278703,0.025470257400128204,0.1842124637351168,0.048436807272556726,0.6003898635477583,0.8148148148148148,0.5263157894736842,-0.033138401559454245,-0.049247494131838376,0.516404572716135,False,0.041802861010822534,0.16675406311392238,-0.04012550029884032,True,True,0.685711669233315,0.8065941370279758,0.007814049867811201,False,0.7377369787949511
DVN,143,0.633693383786263,Devon Energy,Energy,SP500,47.349998474121094,0.004881144894948175,-0.03564154896913829,0.07199457634144868,0.07185396314243908,0.10121423942248109,0.7563352826510721,0.5536062378167641,0.621832358674464,0.4619883040935672,-0.0841793118601577,0.5199891601816442,False,0.07070977824060565,0.10521833147111992,-0.066040097585357,True,True,0.9200649483321447,0.6248877217757162,0.003820040519015855,False,0.7395401743353391
MELI,144,0.6325065932805871,MercadoLibre,Consumer Discretionary,NDX,1966.25,0.01838663731710466,0.02263449364878589,0.04269965496928374,0.1595848032847722,0.11872577587521116,0.6608187134502924,0.7602339181286549,0.6686159844054581,0.23976608187134496,-0.21693607532494374,0.2711644775490891,False,0.07923355844439017,0.055707956596464436,-0.07341650732080418,True,True,1.194029747895918,0.8890273163528978,0.0058215668700634104,False,0.7758873839151341
FAST,145,0.6315548675610595,Fastenal,Industrials,SP500,49.779998779296875,-0.02659367670283641,-0.028872407153681334,0.0668666725693916,0.1324246244357956,0.09295998591580079,0.7426900584795322,0.7017543859649122,0.6120857699805068,0.1578947368421052,-0.049637308816341985,0.292420841312216,False,0.03133246670664103,0.11234450569348486,-0.030380568553897147,True,True,0.9809028493276775,0.6316087686153335,0.0070395114323063,False,0.7513963138260255
PFE,146,0.6299690402476782,Pfizer,Health Care,SP500,27.959999084472656,-0.002141376599242406,-0.0039187962788558295,0.12244075695477807,0.08667415524939504,0.045885391828917266,0.8499025341130604,0.5847953216374269,0.5243664717348928,0.3060428849902534,-0.021351089144816204,0.2678346343713789,False,0.10214592773416986,0.10339120057596118,-0.09267913183163046,True,True,1.1693078955133003,0.6786685800943021,-0.0007137921997474317,False,0.6170452885875026
CPAY,147,0.627389060887513,Corpay,Financials,SP500,407.8800048828125,0.010429289555915489,-0.022175340761206308,0.0455244796163039,0.12736323561241214,0.25462933628164475,0.672514619883041,0.6939571150097466,0.8518518518518519,-0.22027290448343084,-0.040823971757675936,0.5995294309129902,False,0.08124444747731863,0.2222727810541063,-0.0751397592532127,True,True,0.6235835679173003,0.6733330521425118,0.0057720080629242165,False,0.38922367044659645
WAB,148,0.6268914115353744,Wabtec,Industrials,SP500,292.2300109863281,-0.01698731099873929,-0.01794534464648656,0.0002449483195605673,0.12012422230922537,0.10963232900707198,0.44639376218323584,0.672514619883041,0.6432748538011696,0.007797270955165692,-0.043357731102385166,0.5814462420517232,False,0.03437245803765587,0.16061825294017917,-0.03323025257542633,True,True,0.5237184071416473,0.6282019903675833,0.005180330164308078,False,0.49338571877117315
